"iso2c","country","year","SI.POV.DDAY","SI.POV.LMIC","SI.POV.UMIC","country_code"
"Z4","East Asia & Pacific",2019,1,6.3,22.7,NA
"Z4","East Asia & Pacific",2018,1.2,7.1,24.7,NA
"Z4","East Asia & Pacific",2017,1.4,8.4,27.6,NA
"Z4","East Asia & Pacific",2016,1.7,10.3,31.2,NA
"Z4","East Asia & Pacific",2015,2.1,11.9,34.3,NA
"Z4","East Asia & Pacific",2014,2.7,14.5,38,NA
"Z4","East Asia & Pacific",2013,3.3,16.9,42,NA
"Z4","East Asia & Pacific",2012,6.9,23.1,48.2,NA
"Z4","East Asia & Pacific",2011,8.2,25.9,51.9,NA
"Z4","East Asia & Pacific",2010,10.8,30,55.6,NA
"Z4","East Asia & Pacific",2009,12.9,34.2,60.5,NA
"Z4","East Asia & Pacific",2008,14.8,37,63.4,NA
"Z4","East Asia & Pacific",2007,15.7,39.1,65.6,NA
"Z4","East Asia & Pacific",2006,17.9,42.9,69.3,NA
"Z4","East Asia & Pacific",2005,18.4,44.6,71.4,NA
"Z4","East Asia & Pacific",2004,22.5,49.8,75.1,NA
"Z4","East Asia & Pacific",2003,25.9,53.5,77.6,NA
"Z4","East Asia & Pacific",2002,29.1,56.6,79.8,NA
"Z4","East Asia & Pacific",2001,32.8,61.1,82.8,NA
"Z4","East Asia & Pacific",2000,34.8,63.6,84.7,NA
"Z4","East Asia & Pacific",1999,37.9,66.6,86.8,NA
"Z4","East Asia & Pacific",1998,41.5,69.2,88.1,NA
"Z4","East Asia & Pacific",1997,40.2,69.2,88.5,NA
"Z4","East Asia & Pacific",1996,40.2,70.1,89.1,NA
"Z4","East Asia & Pacific",1995,44.6,73.2,90.6,NA
"Z4","East Asia & Pacific",1994,49.7,76.3,92,NA
"Z4","East Asia & Pacific",1993,53.3,79.4,93.1,NA
"Z4","East Asia & Pacific",1992,56.2,81.6,93.9,NA
"Z4","East Asia & Pacific",1991,58.9,83.7,94.7,NA
"Z4","East Asia & Pacific",1990,60.9,85,95.1,NA
"Z7","Europe & Central Asia",2019,1,4,11.6,NA
"Z7","Europe & Central Asia",2018,1.1,4.2,11.9,NA
"Z7","Europe & Central Asia",2017,1.3,4.6,12.6,NA
"Z7","Europe & Central Asia",2016,1.3,4.7,13.3,NA
"Z7","Europe & Central Asia",2015,1.5,5.3,13.9,NA
